City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Lima,PE,2022-11-30 04:13:40,-12.0432,-77.0282,66.45,83,100,8.05
125,Gamba,GA,2022-11-30 04:14:01,-2.65,10.0,74.37,91,100,3.74
126,Victoria,HK,2022-11-30 04:09:15,22.2855,114.1577,76.96,85,51,15.99
127,Mahon,ES,2022-11-30 04:14:01,39.8885,4.2658,54.16,62,20,16.11
128,Narsaq,GL,2022-11-30 04:14:01,60.9167,-46.05,28.62,86,100,5.17
129,Khatanga,RU,2022-11-30 04:14:02,71.9667,102.5,-25.55,96,6,4.38
130,Xining,CN,2022-11-30 04:14:02,36.6167,101.7667,16.74,35,100,3.27
131,Krasnoselkup,RU,2022-11-30 04:14:02,65.7,82.4667,-13.14,98,19,4.94
132,Chuy,UY,2022-11-30 04:14:02,-33.6971,-53.4616,65.95,95,1,9.15
133,Qasigiannguit,GL,2022-11-30 04:15:03,68.8193,-51.1922,26.85,93,100,2.98
134,Norman Wells,CA,2022-11-30 04:15:03,65.282,-126.8329,-18.53,94,99,1.3
135,Platonovka,RU,2022-11-30 04:15:03,52.7106,41.952,21.67,67,14,5.3
136,Hilo,US,2022-11-30 04:11:24,19.7297,-155.09,80.28,91,100,3.44
137,Lamu,KE,2022-11-30 04:15:04,-2.2717,40.902,80.82,82,70,9.69
138,Williston,US,2022-11-30 04:13:02,48.147,-103.618,11.32,78,99,5.99
139,Saint George,US,2022-11-30 04:12:04,37.1041,-113.5841,39.79,33,0,1.01
140,Palmer,US,2022-11-30 04:15:04,42.1584,-72.3287,32.86,100,20,0.0
141,Thinadhoo,MV,2022-11-30 04:15:05,0.5333,72.9333,80.89,72,100,6.31
142,Dingle,PH,2022-11-30 04:15:05,10.9995,122.6711,84.52,73,78,15.05
143,Srednekolymsk,RU,2022-11-30 04:12:19,67.45,153.6833,-26.68,99,70,6.8
144,Iskateley,RU,2022-11-30 04:15:06,67.6803,53.1512,6.19,98,64,4.7
145,Cockburn Town,TC,2022-11-30 04:13:20,21.4612,-71.1419,81.21,73,18,22.86
146,Kruisfontein,ZA,2022-11-30 04:15:06,-34.0033,24.7314,66.83,72,2,7.56
147,Iqaluit,CA,2022-11-30 04:15:06,63.7506,-68.5145,-22.95,92,16,11.95
148,Hollins,US,2022-11-30 04:15:07,37.3413,-79.9431,52.45,76,40,9.22
149,Bintulu,MY,2022-11-30 04:15:07,3.1667,113.0333,84.29,67,53,4.97
150,Rapid Valley,US,2022-11-30 04:12:34,44.0625,-103.1463,12.63,65,0,14.97
151,Airai,TL,2022-11-30 04:15:07,-8.9266,125.4092,75.38,52,72,3.83
152,Hobyo,SO,2022-11-30 04:11:48,5.3505,48.5268,81.03,65,90,18.19
153,Iquitos,PE,2022-11-30 04:15:08,-3.7481,-73.2472,75.24,94,0,1.14
154,Mount Gambier,AU,2022-11-30 04:15:08,-37.8333,140.7667,61.43,60,94,7.7
155,Omboue,GA,2022-11-30 04:15:08,-1.5746,9.2618,73.38,96,100,7.18
156,Solnechnyy,RU,2022-11-30 04:15:08,50.7214,136.6319,5.61,76,100,7.27
157,Juba,SS,2022-11-30 04:15:09,4.8517,31.5825,74.21,65,99,0.47
158,Guanajuato,MX,2022-11-30 04:10:18,21.0186,-101.2591,57.99,47,70,3.56
159,San Luis De La Paz,MX,2022-11-30 04:15:09,21.3,-100.5167,59.61,41,79,4.79
160,College,US,2022-11-30 04:10:33,64.8569,-147.8028,-9.42,76,40,0.0
161,Tessalit,ML,2022-11-30 04:15:09,20.1986,1.0114,66.2,20,99,5.5
162,Vanimo,PG,2022-11-30 04:15:10,-2.6741,141.3028,83.82,72,100,5.84
