City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Oranjemund,NA,-28.55,16.4333,66.02,89,46,4.56,scattered clouds
255,Oshakati,NA,-17.7833,15.6833,78.04,18,58,15.99,broken clouds
256,Chara,RU,56.9064,118.2631,-6.56,83,100,6.76,overcast clouds
257,Assiniboia,CA,49.6334,-105.9845,22.82,68,96,5.75,overcast clouds
258,Mana,GF,5.6592,-53.7767,76.55,86,100,7.52,overcast clouds
259,Lazaro Cardenas,MX,17.9583,-102.2,81.36,67,26,8.72,scattered clouds
260,Conroe,US,30.3119,-95.456,69.71,89,100,4.61,overcast clouds
261,Yacuiba,BO,-22.038,-63.6797,82.87,63,100,3.78,overcast clouds
262,Metro,ID,-5.1131,105.3067,76.05,82,100,3.06,overcast clouds
263,Shenjiamen,CN,29.9576,122.298,51.53,72,100,15.7,overcast clouds
264,Tianpeng,CN,30.9866,103.9393,45.07,74,100,3.98,overcast clouds
265,Dubbo,AU,-32.25,148.6167,73.53,46,75,26.46,broken clouds
266,Charters Towers,AU,-20.1,146.2667,80.15,68,17,11.52,few clouds
267,Sterling,US,39.0062,-77.4286,48.18,80,100,0.0,overcast clouds
268,Mitu,CO,1.1983,-70.1733,76.82,88,94,1.52,overcast clouds
269,Jalu,LY,29.0331,21.5482,63.28,73,49,8.01,scattered clouds
270,Xushan,CN,30.1764,121.2457,47.97,78,89,9.06,overcast clouds
271,Nouadhibou,MR,20.931,-17.0347,75.18,60,6,16.11,clear sky
272,Mangotsfield,GB,51.4878,-2.504,35.85,97,100,6.91,fog
273,Kurkino,RU,53.4257,38.6582,35.83,87,100,21.72,overcast clouds
274,Kurilsk,RU,45.2333,147.8833,25.27,65,99,16.02,overcast clouds
275,Kiama,AU,-34.6833,150.8667,80.26,59,100,5.99,overcast clouds
276,Neiafu,TO,-18.65,-173.9833,77.68,94,75,5.75,light rain
277,Kolokani,ML,13.5728,-8.0339,70.63,15,0,8.57,clear sky
278,Salalah,OM,17.0151,54.0924,71.24,46,0,10.07,clear sky
279,Atar,MR,20.5169,-13.0499,79.14,14,42,7.63,scattered clouds
280,Maceio,BR,-9.6658,-35.7353,80.04,83,20,9.22,few clouds
281,Quatre Cocos,MU,-20.2078,57.7625,76.08,76,26,13.94,scattered clouds
282,Cherskiy,RU,68.75,161.3,-30.86,95,100,4.56,overcast clouds
283,Fort Morgan,US,40.2503,-103.8,62.02,14,0,10.36,clear sky
284,Alcudia,ES,39.8532,3.1214,55.2,85,100,4.63,overcast clouds
285,Tarangnan,PH,11.9009,124.7459,75.74,90,100,4.09,overcast clouds
286,Khani,GE,41.9563,42.9566,42.37,54,83,7.56,broken clouds
287,Dikson,RU,73.5069,80.5464,16.77,95,100,13.09,light snow
288,Marienburg,PL,54.0359,19.0266,37.85,74,100,12.37,overcast clouds
289,Kavaratti,IN,10.5669,72.642,81.61,71,96,18.84,overcast clouds
290,Kaitangata,NZ,-46.2817,169.8464,59.31,76,94,4.88,overcast clouds
291,Abu Dhabi,AE,24.4667,54.3667,71.96,56,20,3.44,few clouds
292,Riyadh,SA,24.6877,46.7219,55.54,42,0,7.29,clear sky
293,Byron Bay,AU,-28.65,153.6167,77.7,70,55,16.22,broken clouds
294,Kaeo,NZ,-35.1,173.7833,71.29,66,70,3.62,broken clouds
295,Maidstone,GB,51.2667,0.5167,37.45,76,100,11.86,snow
296,Tabou,CI,4.423,-7.3528,78.82,83,15,8.57,few clouds
297,Jurilovca,RO,44.7667,28.8667,50.09,79,90,14.97,overcast clouds
298,Road Town,VG,18.4167,-64.6167,80.69,73,40,9.22,scattered clouds
299,Okato,NZ,-39.2,173.8833,62.69,67,10,5.08,clear sky
300,Oudtshoorn,ZA,-33.5907,22.2014,66.56,91,100,3.27,overcast clouds
301,Nhulunbuy,AU,-12.2333,136.7667,84.81,74,96,5.75,overcast clouds
302,Moundou,TD,8.5667,16.0833,75.07,26,0,3.98,clear sky
303,Akdepe,TM,42.0551,59.3788,10.49,53,0,8.16,clear sky
304,Tuatapere,NZ,-46.1333,167.6833,65.34,63,23,2.75,few clouds
305,Olafsvik,IS,64.8945,-23.7142,36.63,65,1,6.98,clear sky
306,Otjiwarongo,NA,-20.4637,16.6477,62.15,21,51,8.99,broken clouds
307,Xuanhua,CN,40.6103,115.0447,20.19,30,0,20.47,clear sky
308,Valparaiso,CL,-33.0393,-71.6273,83.84,31,0,20.71,clear sky
309,Antalaha,MG,-14.9003,50.2788,73.36,87,14,6.02,light rain
310,Sao Filipe,CV,14.8961,-24.4956,77.23,77,0,7.16,clear sky
311,Shache,CN,38.4167,77.2406,26.38,47,100,2.35,overcast clouds
312,Rey Bouba,CM,8.6724,14.1786,73.4,24,0,2.13,clear sky
313,Palmer,US,42.1584,-72.3287,29.86,83,100,8.05,snow
314,Nemuro,JP,43.3236,145.575,30.04,59,74,14.72,broken clouds
315,Praya,CV,14.9215,-23.5087,75.27,85,0,14.0,clear sky
316,Oleksandrivka,UA,48.9634,32.2349,52.9,94,100,19.89,light rain
317,Maniitsoq,GL,65.4167,-52.9,19.53,56,1,6.33,clear sky
318,Biskamzha,RU,53.4497,89.5272,-11.0,100,98,2.33,overcast clouds
319,Gornopravdinsk,RU,60.05,69.9,-5.67,92,100,9.44,overcast clouds
320,Dunedin,NZ,-45.8742,170.5036,54.81,93,99,5.99,overcast clouds
321,Norwalk,US,33.9022,-118.0817,60.75,62,100,17.27,overcast clouds
