City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
234,Kabompo,ZM,65.98,light rain,-13.5927,24.2008,Big Tree
235,Constitucion,CL,65.71,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
238,Emerald,AU,76.33,few clouds,-23.5333,148.1667,Emerald Inn
241,Saldanha,ZA,68.05,light rain,-33.0117,17.9442,Blue Bay Lodge
245,Thinadhoo,MV,81.07,few clouds,0.5333,72.9333,
246,Ahipara,NZ,68.72,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
250,Tessalit,ML,72.19,broken clouds,20.1986,1.0114,
251,Lardos,GR,64.22,light rain,36.0942,28.0157,Lindos Princess Beach Hotel
258,Mana,GF,76.55,overcast clouds,5.6592,-53.7767,LE SAMANA
259,Lazaro Cardenas,MX,81.36,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
260,Conroe,US,69.71,overcast clouds,30.3119,-95.456,Hampton Inn & Suites Conroe - I-45 North
261,Yacuiba,BO,82.87,overcast clouds,-22.038,-63.6797,Hotel Monumental
262,Metro,ID,76.05,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
265,Dubbo,AU,73.53,broken clouds,-32.25,148.6167,Quality Inn Dubbo International
266,Charters Towers,AU,80.15,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
268,Mitu,CO,76.82,overcast clouds,1.1983,-70.1733,
269,Jalu,LY,63.28,scattered clouds,29.0331,21.5482,صاحبة الفخامة
271,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
275,Kiama,AU,80.26,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
276,Neiafu,TO,77.68,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
277,Kolokani,ML,70.63,clear sky,13.5728,-8.0339,Bar kolokoni dépôt de boissons
278,Salalah,OM,71.24,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
279,Atar,MR,79.14,scattered clouds,20.5169,-13.0499,Oumou Elghoura
280,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
281,Quatre Cocos,MU,76.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
283,Fort Morgan,US,62.02,clear sky,40.2503,-103.8,Hampton Inn Fort Morgan
285,Tarangnan,PH,75.74,overcast clouds,11.9009,124.7459,Rainbow Resort (Pools and Recreation)
289,Kavaratti,IN,81.61,overcast clouds,10.5669,72.642,Green leaf
291,Abu Dhabi,AE,71.96,few clouds,24.4667,54.3667,Beach Rotana
293,Byron Bay,AU,77.7,broken clouds,-28.65,153.6167,Backpackers Inn
294,Kaeo,NZ,71.29,broken clouds,-35.1,173.7833,Bushido Lodge
296,Tabou,CI,78.82,few clouds,4.423,-7.3528,hotêl doufoulougou
298,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
299,Okato,NZ,62.69,clear sky,-39.2,173.8833,Goodin Country Garden
300,Oudtshoorn,ZA,66.56,overcast clouds,-33.5907,22.2014,Earthbound Guest House
301,Nhulunbuy,AU,84.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
302,Moundou,TD,75.07,clear sky,8.5667,16.0833,Planete Life
304,Tuatapere,NZ,65.34,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
308,Valparaiso,CL,83.84,clear sky,-33.0393,-71.6273,Hotel Ultramar
309,Antalaha,MG,73.36,light rain,-14.9003,50.2788,Hotel Vitasoa
310,Sao Filipe,CV,77.23,clear sky,14.8961,-24.4956,Hotel Xaguate
312,Rey Bouba,CM,73.4,clear sky,8.6724,14.1786,
315,Praya,CV,75.27,clear sky,14.9215,-23.5087,LT Aparthotel
322,Samana,DO,80.82,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
324,Berberati,CF,71.17,clear sky,4.2612,15.7922,MAIRIE DE BERBERATI
325,Raymondville,US,84.31,few clouds,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
326,Gigmoto,PH,78.48,overcast clouds,13.7796,124.39,Cj's Travellers Inn
327,Rawson,AR,63.12,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
328,Bonfim,BR,87.75,light rain,3.0833,-59.95,
329,Mount Isa,AU,83.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
330,Oriximina,BR,83.95,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
333,Chimbote,PE,70.11,broken clouds,-9.0853,-78.5783,Hotel Briliá
336,Kloulklubed,PW,83.44,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
339,Bowen,AU,82.04,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
341,Kidal,ML,71.49,overcast clouds,18.4411,1.4078,
344,Puerto Escondido,MX,82.42,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
345,Lorengau,PG,81.88,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
346,Tevaitoa,PF,78.66,moderate rain,-16.7833,-151.5,Hôtel Raiatea Lodge
348,Sakaraha,MG,77.18,scattered clouds,-22.9,44.5333,Le Relais
351,Magdug,PH,80.62,broken clouds,6.5476,126.0951,Villanida Campsite and Resort
352,Andros Town,BS,76.96,clear sky,24.7,-77.7667,CBH
355,Samarai,PG,83.48,overcast clouds,-10.6167,150.6667,Nuli Sapi
357,Nizwa,OM,62.74,clear sky,22.9333,57.5333,Orient Apartments
360,Bukama,CD,67.86,moderate rain,-9.2,25.85,
362,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
363,Suriapet,IN,69.67,scattered clouds,17.15,79.6167,Bengali bachelor's hostel
366,Ati,TD,72.77,clear sky,13.2154,18.3353,
367,Camapua,BR,75.27,overcast clouds,-19.5314,-54.0439,Comercial Estrela
369,Chivacoa,VE,74.23,broken clouds,10.1603,-68.895,Hotel Abruzzese C.A
375,Razole,IN,73.8,few clouds,16.4833,81.8333,Sterling Palavelli Godavari
379,Dingle,PH,74.05,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
381,The Valley,AI,78.94,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
387,Bertoua,CM,72.07,clear sky,4.5833,13.6833,Hotel De Paris
390,Flinders,AU,80.06,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
397,Mandera,KE,85.66,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
398,Tamandare,BR,78.44,clear sky,-8.7597,-35.1047,Pousada 100 Passos
399,Moyobamba,PE,73.18,overcast clouds,-6.05,-76.9667,Hospedaje Mariluna
401,Key West,US,79.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
404,Icatu,BR,84.63,scattered clouds,-2.7758,-44.0658,Hotel Guaxenduba
405,Domoni,KM,78.71,few clouds,-12.2569,44.5319,Al Djadid
406,Vila Franca Do Campo,PT,66.2,light rain,37.7167,-25.4333,Pestana Bahia Praia
411,San Juancito,CO,80.17,overcast clouds,8.6943,-76.4941,
414,Makakilo City,US,80.01,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
415,Bulawayo,ZW,67.48,broken clouds,-20.15,28.5833,4 On Housman Backpackers
418,Merauke,ID,80.51,overcast clouds,-8.4667,140.3333,
420,Otane,NZ,69.01,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
423,Durango,MX,71.11,clear sky,24.8333,-104.8333,
424,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
425,Tecoanapa,MX,83.07,clear sky,16.5167,-98.75,Hotel Manglares
426,Kieta,PG,81.82,light rain,-6.2167,155.6333,Uruna Bay Retreat
427,Quelimane,MZ,82.35,few clouds,-17.8786,36.8883,Hotel Flamingo
430,Palmas Bellas,PA,86.25,broken clouds,9.2319,-80.0867,Antigua Residencia Galván
431,Marsh Harbour,BS,76.05,clear sky,26.5412,-77.0636,Abaco Beach Resort
434,Tougan,BF,73.08,clear sky,13.0667,-3.0667,Hôtel SMAK
435,Whittlesea,ZA,63.28,overcast clouds,-32.1759,26.8244,Eddie's Nest B&B
437,Bathurst,AU,68.83,moderate rain,-33.4166,149.5806,Bathurst Motor Inn
438,Axim,GH,79.11,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
439,Canico,PT,73.71,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
441,Harper,LR,78.64,scattered clouds,4.375,-7.7169,Screensaver
442,Lebu,CL,61.11,clear sky,-37.6167,-73.65,Hostal Las Lilas
443,Port Macquarie,AU,73.89,light rain,-31.4333,152.9167,Rydges Port Macquarie
445,Minab,IR,63.97,clear sky,27.1467,57.0801,Bam campground
447,Ziniare,BF,71.64,broken clouds,12.5822,-1.2983,Privilège Busines Center Ziniaré
448,Wattegama,LK,70.77,overcast clouds,6.7989,81.4808,
450,Anloga,GH,81.41,few clouds,5.7947,0.8973,Pin Drop Hotel
456,Goundam,ML,73.18,clear sky,16.4145,-3.6708,
457,Tshane,BW,73.22,light rain,-24.0196,21.8684,
458,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
466,Christchurch,NZ,68.95,overcast clouds,-43.5333,172.6333,The George
467,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
468,Puerto Maldonado,PE,82.8,light rain,-12.6,-69.1833,Wasai Hotel
471,Ilheus,BR,80.42,few clouds,-14.7889,-39.0494,Barravento Hotel
472,Praia Da Vitoria,PT,64.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
474,Padang,ID,75.0,overcast clouds,-0.9492,100.3543,Mercure Padang
475,Saint Peter,BB,77.56,clear sky,13.25,-59.6167,Legend Garden Condos
